Order ID,Order Date,Ship Date,Category,Sub-Category,Sales,Quantity,Profit,Region
CA-2023-10022,2023-12-14,2023-12-18,Office Supplies,Appliances,387.0,4,43.94,Central
CA-2024-10077,2024-07-17,2024-07-23,Office Supplies,Appliances,343.72,4,78.09,West
CA-2023-10030,2023-09-26,2023-09-30,Furniture,Tables,633.25,2,38.82,West
CA-2023-10056,2024-12-30,2025-01-05,Technology,Accessories,281.45,1,65.4,East
CA-2023-10326,2024-02-25,2024-02-28,Furniture,Chairs,778.95,3,98.92,East
CA-2024-10057,2024-11-12,2024-11-17,Technology,Accessories,799.93,3,158.73,West
CA-2023-10118,2024-08-24,2024-08-28,Office Supplies,Appliances,476.34,5,107.38,East
CA-2024-10237,2023-08-12,2023-08-18,Office Supplies,Binders,134.69,2,20.73,East
CA-2023-10310,2023-04-06,2023-04-12,Office Supplies,Appliances,157.17,2,31.04,West
CA-2023-10290,2023-03-20,2023-03-22,Furniture,Chairs,781.13,3,14.59,West
CA-2023-10172,2024-11-21,2024-11-26,Technology,Accessories,219.9,1,0.0,Central
CA-2024-10045,2024-03-12,2024-03-18,Technology,Accessories,212.28,1,36.86,South
CA-2023-10072,2024-02-04,2024-02-07,Office Supplies,Paper,32.7,3,7.4,East
CA-2023-10114,2023-09-09,2023-09-15,Technology,Phones,1336.19,3,173.5,East
CA-2024-10225,2023-10-11,2023-10-17,Office Supplies,Binders,118.85,3,28.15,East
CA-2024-10177,2024-12-13,2024-12-16,Furniture,Tables,868.95,2,-7.37,East
CA-2023-10246,2023-02-07,2023-02-10,Office Supplies,Paper,80.9,3,19.82,East
CA-2024-10247,2024-12-27,2025-01-01,Office Supplies,Storage,76.52,1,11.34,South
CA-2023-10084,2024-12-22,2024-12-27,Furniture,Tables,1274.9,3,42.49,East
CA-2024-10355,2023-04-22,2023-04-23,Technology,Machines,2153.18,4,201.38,West
CA-2024-10163,2023-11-19,2023-11-25,Office Supplies,Binders,255.54,4,0.0,Central
CA-2024-10063,2024-07-24,2024-07-23,Technology,Phones,2368.37,5,216.09,Central
CA-2024-10227,2024-09-22,2024-09-27,Technology,Accessories,893.17,4,80.83,West
CA-2023-10182,2024-07-05,2024-07-08,Technology,Machines,1731.48,3,155.12,East
CA-2023-10316,2023-05-01,2023-05-05,Furniture,Bookcases,787.92,3,106.49,Central
CA-2023-10110,2023-08-25,2023-08-30,Office Supplies,Art,68.24,2,5.16,West
CA-2024-10137,2024-09-10,2024-09-13,Technology,Copiers,632.99,1,95.71,East
CA-2024-10101,2024-09-05,2024-09-08,Furniture,Bookcases,807.68,3,0.0,East
CA-2023-10314,2024-03-30,2024-04-03,Office Supplies,Storage,359.62,5,87.99,West
CA-2023-10300,2023-12-24,2023-12-26,Technology,Phones,1532.15,3,140.83,South
CA-2024-10223,2024-12-13,2024-12-16,Technology,Accessories,549.33,2,64.08,East
CA-2023-10352,2024-08-18,2024-08-21,Technology,Accessories,769.96,3,193.25,West
CA-2024-10219,2023-11-19,2023-11-22,Furniture,Furnishings,331.48,2,55.83,South
CA-2023-10094,2024-12-11,2024-12-13,Office Supplies,Art,71.9,2,22.24,West
CA-2023-10016,2023-01-01,2023-01-05,Office Supplies,Appliances,0.5,1,-2000.0,East
CA-2023-10354,2024-02-15,2024-02-20,Technology,Accessories,801.02,4,122.36,West
CA-2024-10007,2023-08-15,2023-08-17,Furniture,Chairs,610.05,2,0.0,West
CA-2024-10157,2023-07-23,2023-07-28,Office Supplies,Storage,366.65,5,59.4,South
CA-2023-10126,2024-03-29,2024-03-31,Technology,Machines,1892.57,4,23.94,South
CA-2024-10333,2023-01-06,2023-01-08,Furniture,Chairs,1492.07,6,220.66,West
CA-2023-10168,2023-09-08,2023-09-12,Office Supplies,Appliances,163.99,2,23.54,East
CA-2023-10280,2023-12-03,2023-12-05,Office Supplies,Appliances,276.71,3,49.18,South
CA-2023-10060,2024-07-21,2024-07-24,Furniture,Bookcases,268.56,1,33.4,East
CA-2023-10234,2023-09-27,2023-10-02,Office Supplies,Storage,363.2,5,92.81,West
CA-2023-10332,2023-09-22,2023-09-25,Furniture,Tables,669.57,2,-6.91,Central
CA-2024-10017,2023-11-06,2023-11-09,Office Supplies,Storage,395.77,5,43.59,West
CA-2024-10155,2024-09-19,2024-09-22,Office Supplies,Binders,118.81,3,18.34,South
CA-2023-10024,2023-12-22,2023-12-28,Office Supplies,Appliances,280.94,3,47.27,East
CA-2023-10132,2023-09-13,2023-09-18,Technology,Phones,1257.95,3,138.17,Central
CA-2023-10224,2024-08-02,2024-08-04,Office Supplies,Storage,342.07,5,80.69,Central
CA-2024-10233,2023-11-15,2023-11-18,Furniture,Chairs,227.06,1,19.34,South
CA-2024-10165,2024-06-30,2024-07-02,Furniture,Bookcases,840.35,3,60.77,South
CA-2024-10327,2023-10-07,2023-10-09,Technology,Copiers,672.0,1,24.28,West
CA-2023-10278,2024-11-16,2024-11-18,Office Supplies,Art,199.75,5,20.71,Central
CA-2024-10249,2024-11-18,2024-11-21,Furniture,Chairs,1564.33,5,136.88,East
CA-2024-10283,2023-01-01,2023-01-03,Technology,Machines,462.07,1,57.71,Central
CA-2024-10167,2023-08-01,2023-08-03,Office Supplies,Art,171.99,5,31.0,East
CA-2024-10275,2024-11-18,2024-11-24,Office Supplies,Binders,275.41,6,51.53,East
CA-2024-10119,2024-11-09,2024-11-12,Furniture,Chairs,831.36,3,103.11,South
CA-2024-10001,2023-10-02,2023-10-07,Technology,Accessories,439.1,2,15.08,Central
CA-2023-10202,2024-12-03,2024-12-04,Office Supplies,Art,153.84,3,30.89,South
CA-2024-10019,2024-11-25,2024-11-26,Technology,Accessories,419.5,2,57.03,South
CA-2024-10321,2024-12-07,2024-12-09,Technology,Copiers,872.73,1,171.95,East
CA-2023-10250,2024-11-15,2024-11-20,Furniture,Bookcases,639.46,2,0.0,South
CA-2023-10018,2024-10-28,2024-11-01,Furniture,Bookcases,600.5,2,-14.1,West
CA-2024-10139,2024-08-28,2024-08-30,Office Supplies,Appliances,173.35,2,32.52,East
CA-2024-10289,2023-10-17,2023-10-24,Furniture,Tables,2131.18,6,101.42,East
CA-2023-10274,2024-05-23,2024-05-27,Office Supplies,Appliances,94.77,1,7.69,West
CA-2023-10244,2023-09-13,2023-09-17,Technology,Phones,1692.15,4,167.97,Central
CA-2023-10180,2024-02-14,2024-02-15,Office Supplies,Art,97.28,4,10.59,South
CA-2024-10181,2023-04-04,2023-04-07,Office Supplies,Appliances,244.66,3,27.27,West
CA-2024-10059,2024-06-24,2024-06-30,Furniture,Tables,2131.85,6,79.35,West
CA-2024-10111,2023-05-30,2023-06-03,Furniture,Chairs,867.37,3,43.44,West
CA-2023-10282,2024-11-14,2024-11-17,Office Supplies,Binders,120.73,2,23.46,West
CA-2023-10006,2023-02-25,2023-03-04,Technology,Phones,2022.8,5,173.9,East
CA-2024-10271,2023-11-23,2023-11-26,Office Supplies,Paper,110.33,3,36.51,West
CA-2023-10010,2024-11-09,2024-11-13,Furniture,Furnishings,121.12,1,20.45,Central
CA-2023-10176,2024-12-29,2025-01-04,Technology,Accessories,1548.93,6,273.52,Central
CA-2024-10103,2023-02-12,2023-02-16,Furniture,Tables,615.3,2,55.69,Central
CA-2024-10081,2023-06-10,2023-06-13,Furniture,Bookcases,1704.86,6,74.55,East
CA-2024-10353,2024-09-29,2024-10-02,Furniture,Furnishings,322.9,2,40.31,East
CA-2024-10195,2023-04-22,2023-04-27,Furniture,Furnishings,289.41,2,19.52,Central
CA-2023-10152,2024-12-16,2024-12-20,Furniture,Furnishings,556.72,3,44.58,Central
CA-2024-10175,2023-03-14,2023-03-15,Office Supplies,Paper,52.53,2,13.3,Central
CA-2024-10147,2024-01-09,2024-01-12,Technology,Phones,766.11,2,65.33,South
CA-2024-10209,2023-09-20,2023-09-24,Technology,Accessories,240.79,1,0.0,East
CA-2024-10069,2023-11-30,2023-12-02,Technology,Machines,588.96,1,67.96,Central
CA-2023-10096,2024-07-09,2024-07-13,Office Supplies,Binders,224.62,5,42.09,Central
CA-2024-10143,2023-07-28,2023-07-31,Office Supplies,Binders,12.0,1,10.62,South
CA-2024-10285,2024-09-16,2024-09-18,Office Supplies,Art,40.64,1,8.86,West
CA-2024-10097,2023-03-11,2023-03-16,Office Supplies,Paper,109.0,2,24.28,South
CA-2024-10211,2023-08-18,2023-08-21,Office Supplies,Paper,124.92,3,18.22,West
CA-2023-10068,2023-09-27,2023-10-04,Office Supplies,Binders,73.84,2,-5.67,Central
CA-2024-10023,2024-10-07,2024-10-12,Furniture,Furnishings,267.38,2,15.83,Central
CA-2023-10144,2024-06-05,2024-06-08,Technology,Copiers,1362.45,2,0.0,East
CA-2023-10122,2024-08-06,2024-08-08,Furniture,Chairs,597.35,2,65.31,West
CA-2024-10067,2023-07-15,2023-07-20,Office Supplies,Binders,109.12,2,16.24,South
CA-2023-10196,2023-11-19,2023-11-21,Office Supplies,Storage,290.18,4,52.87,West
CA-2024-10277,2023-05-04,2023-05-08,Furniture,Chairs,990.45,4,97.55,East
CA-2023-10218,2024-10-02,2024-10-03,Office Supplies,Art,110.92,3,0.0,South
CA-2023-10086,2023-10-11,2023-10-12,Technology,Accessories,671.9,3,82.07,Central
CA-2024-10317,2024-12-24,2024-12-29,Furniture,Furnishings,751.75,4,73.65,East
CA-2023-10294,2023-10-16,2023-10-23,Technology,Phones,1904.9,4,176.22,West
CA-2023-10318,2024-11-23,2024-11-25,Office Supplies,Appliances,173.65,2,0.0,Central
CA-2024-10183,2023-08-21,2023-08-26,Office Supplies,Appliances,631.13,7,106.32,West
CA-2023-10356,2023-07-24,2023-07-27,Technology,Copiers,692.64,1,110.47,South
CA-2024-10193,2024-06-26,2024-06-30,Technology,Accessories,916.48,4,119.02,West
CA-2024-10265,2023-05-02,2023-05-05,Technology,Accessories,211.05,1,36.48,West
CA-2024-10129,2024-11-14,2024-11-17,Furniture,Chairs,295.48,1,40.02,Central
CA-2023-10038,2023-09-19,2023-09-24,Office Supplies,Binders,268.3,6,37.26,West
CA-2024-10011,2024-08-23,2024-08-27,Office Supplies,Appliances,62.97,1,6.69,Central
CA-2024-10351,2024-03-13,2024-03-17,Office Supplies,Storage,210.08,3,44.75,Central
CA-2024-10185,2023-06-06,2023-06-09,Technology,Phones,2432.21,5,179.88,West
CA-2023-10112,2024-04-29,2024-05-01,Office Supplies,Storage,465.65,7,80.43,West
CA-2024-10179,2023-08-25,2023-08-26,Technology,Phones,863.96,2,101.07,South
CA-2023-10302,2023-05-16,2023-05-22,Furniture,Chairs,528.33,2,80.15,East
CA-2024-10239,2023-12-06,2023-12-07,Furniture,Chairs,936.52,3,107.92,Central
CA-2024-10117,2023-05-27,2023-06-01,Office Supplies,Appliances,225.28,4,28.5,Central
CA-2024-10347,2023-06-27,2023-07-01,Office Supplies,Art,154.21,4,0.0,South
CA-2023-10336,2023-04-29,2023-05-02,Office Supplies,Storage,203.6,3,36.83,East
CA-2024-10341,2023-07-22,2023-07-26,Furniture,Bookcases,850.0,3,51.47,Central
CA-2023-10164,2024-03-02,2024-03-05,Office Supplies,Appliances,184.31,3,33.8,South
CA-2024-10231,2023-08-30,2023-09-04,Office Supplies,Binders,167.8,4,32.06,Central
CA-2023-10136,2024-12-30,2025-01-04,Office Supplies,Storage,251.1,3,59.23,West
CA-2024-10199,2023-10-09,2023-10-13,Furniture,Tables,1859.66,5,178.73,West
CA-2023-10002,2023-07-27,2023-07-30,Furniture,Furnishings,471.21,3,61.2,East
CA-2023-10204,2023-08-04,2023-08-03,Technology,Phones,965.25,2,155.93,Central
CA-2024-10115,2023-12-13,2023-12-15,Office Supplies,Binders,209.83,5,26.46,West
CA-2023-10272,2023-07-21,2023-07-26,Office Supplies,Art,145.9,4,10.65,Central
CA-2023-10262,2024-07-19,2024-07-25,Office Supplies,Art,175.43,4,30.61,West
CA-2023-10120,2024-12-19,2024-12-25,Furniture,Furnishings,758.0,4,60.88,East
CA-2023-10288,2023-04-26,2023-05-02,Furniture,Bookcases,1241.46,5,222.1,Central
CA-2023-10324,2024-04-02,2024-04-05,Furniture,Chairs,726.42,3,13.67,Central
CA-2024-10127,2023-12-27,2024-01-03,Technology,Phones,1746.68,3,257.81,West
CA-2023-10074,2024-11-18,2024-11-20,Technology,Phones,1001.31,2,147.85,Central
CA-2024-10307,2024-06-04,2024-06-11,Technology,Phones,395.21,1,15.82,South
CA-2024-10029,2023-02-04,2023-02-09,Office Supplies,Art,12.0,1,0.0,West
CA-2024-10083,2024-03-26,2024-03-27,Furniture,Tables,2007.73,6,67.68,West
CA-2024-10311,2023-06-20,2023-06-22,Furniture,Chairs,756.93,3,101.0,South
CA-2024-10107,2024-08-14,2024-08-18,Furniture,Furnishings,878.04,6,144.8,East
CA-2023-10248,2024-05-13,2024-05-16,Technology,Accessories,436.63,2,84.87,South
CA-2023-10350,2024-12-17,2024-12-19,Office Supplies,Appliances,657.86,6,148.35,South
CA-2024-10133,2023-12-16,2023-12-19,Furniture,Chairs,313.9,1,-0.66,South
CA-2023-10184,2023-08-20,2023-08-22,Furniture,Tables,692.63,2,86.98,Central
CA-2024-10331,2024-09-08,2024-09-11,Office Supplies,Appliances,304.85,3,51.83,West
CA-2023-10044,2023-11-10,2023-11-17,Technology,Accessories,1491.77,6,169.96,East
CA-2023-10346,2024-02-13,2024-02-16,Office Supplies,Art,66.53,3,5.8,West
CA-2024-10065,2024-12-15,2024-12-16,Technology,Accessories,488.03,2,28.74,South
CA-2024-10297,2024-07-13,2024-07-14,Furniture,Furnishings,1282.05,7,34.4,West
CA-2024-10085,2024-06-21,2024-06-25,Furniture,Furnishings,817.16,6,28.8,South
CA-2023-10186,2023-07-10,2023-07-16,Furniture,Furnishings,675.72,4,77.68,East
CA-2023-10070,2023-12-22,2023-12-24,Furniture,Bookcases,1366.88,4,315.52,West
CA-2024-10159,2024-08-29,2024-09-03,Office Supplies,Paper,90.63,4,2.71,South
CA-2023-10012,2024-12-25,2024-12-26,Office Supplies,Art,292.58,6,52.31,Central
CA-2024-10035,2023-02-14,2023-02-21,Furniture,Furnishings,348.15,3,32.99,Central
CA-2023-10028,2024-12-01,2024-12-03,Office Supplies,Appliances,342.84,3,33.67,East
CA-2023-10142,2024-07-01,2024-07-03,Office Supplies,Paper,209.34,7,32.54,Central
CA-2024-10261,2024-02-06,2024-02-10,Office Supplies,Storage,237.25,4,11.63,Central
CA-2023-10150,2024-04-29,2024-05-02,Technology,Accessories,855.25,4,119.59,East
CA-2024-10221,2024-11-18,2024-11-20,Office Supplies,Art,86.2,2,20.74,Central
CA-2024-10255,2024-12-28,2025-01-01,Furniture,Bookcases,662.51,2,28.93,West
CA-2023-10240,2023-07-13,2023-07-16,Furniture,Bookcases,933.66,3,203.71,East
CA-2023-10178,2024-12-29,2024-12-26,Office Supplies,Appliances,267.93,3,24.61,Central
CA-2024-10291,2023-10-06,2023-10-12,Technology,Accessories,591.69,3,69.03,South
CA-2023-10206,2024-06-16,2024-06-18,Office Supplies,Paper,32.34,1,-8.65,East
CA-2023-10256,2023-08-17,2023-08-20,Furniture,Chairs,836.77,3,47.13,West
CA-2024-10337,2023-06-30,2023-07-03,Office Supplies,Appliances,242.06,3,59.03,East
CA-2023-10100,2023-09-21,2023-09-26,Office Supplies,Art,35.64,2,27.12,South
CA-2023-10322,2023-09-02,2023-09-06,Office Supplies,Storage,195.0,4,42.18,South
CA-2024-10213,2024-12-29,2024-12-30,Furniture,Furnishings,200.8,1,39.3,East
CA-2023-10098,2023-11-10,2023-11-12,Furniture,Bookcases,1031.25,3,155.43,West
CA-2024-10215,2023-07-22,2023-07-28,Office Supplies,Paper,67.33,3,19.47,West
CA-2024-10061,2024-06-03,2024-06-06,Technology,Phones,427.14,1,38.59,Central
CA-2024-10047,2024-11-27,2024-11-29,Furniture,Tables,376.72,1,14.16,East
CA-2023-10032,2024-03-10,2024-03-13,Technology,Machines,2017.2,4,82.88,East
CA-2024-10267,2024-11-08,2024-11-11,Technology,Accessories,752.54,3,77.19,East
CA-2024-10335,2024-02-13,2024-02-15,Technology,Copiers,2418.48,4,220.02,West
CA-2024-10027,2023-05-25,2023-05-28,Technology,Machines,500.78,1,6.44,South
CA-2023-10230,2023-09-01,2023-09-07,Furniture,Bookcases,801.45,3,75.32,Central
CA-2023-10162,2023-12-09,2023-12-13,Furniture,Chairs,2002.88,6,130.9,West
CA-2023-10138,2023-12-08,2023-12-14,Office Supplies,Storage,39.82,1,16.36,Central
CA-2023-10062,2023-03-01,2023-03-04,Office Supplies,Paper,31.15,2,3.11,Central
CA-2024-10135,2024-01-08,2024-01-12,Office Supplies,Binders,94.21,1,0.0,West
CA-2023-10128,2023-04-25,2023-04-21,Office Supplies,Art,249.07,7,39.48,East
CA-2023-10064,2024-12-24,2024-12-27,Office Supplies,Paper,61.0,1,0.0,West
CA-2023-10014,2023-07-19,2023-07-21,Furniture,Bookcases,876.49,3,149.18,East
CA-2023-10040,2024-12-21,2024-12-28,Office Supplies,Appliances,553.77,5,97.39,West
CA-2024-10345,2024-06-19,2024-06-21,Furniture,Furnishings,330.2,2,33.75,West
CA-2023-10304,2023-05-05,2023-05-08,Office Supplies,Binders,103.37,3,17.85,Central
CA-2024-10325,2023-12-13,2023-12-17,Technology,Accessories,281.53,1,34.14,West
CA-2023-10236,2024-11-01,2024-11-06,Office Supplies,Binders,236.89,5,0.0,South
CA-2023-10212,2024-11-05,2024-11-12,Furniture,Bookcases,553.8,2,25.66,South
CA-2024-10295,2024-07-20,2024-07-24,Technology,Accessories,1100.73,5,212.97,South
CA-2023-10358,2023-08-13,2023-08-15,Furniture,Bookcases,875.0,3,136.29,West
CA-2024-10251,2023-10-24,2023-10-26,Office Supplies,Appliances,223.0,2,53.46,West
CA-2024-10349,2024-10-26,2024-10-31,Furniture,Bookcases,1050.1,4,79.83,South
CA-2024-10303,2024-02-29,2024-02-27,Technology,Copiers,559.89,1,102.25,South
CA-2024-10269,2024-11-28,2024-11-30,Office Supplies,Art,101.78,3,13.54,West
CA-2024-10201,2024-03-22,2024-03-26,Furniture,Tables,584.06,2,-25.15,Central
CA-2024-10161,2024-12-07,2024-12-12,Office Supplies,Appliances,738.42,7,139.71,South
CA-2024-10043,2024-12-15,2024-12-16,Furniture,Furnishings,769.92,4,102.67,East
CA-2023-10190,2023-01-28,2023-02-03,Technology,Copiers,1091.56,2,128.21,South
CA-2024-10309,2023-09-05,2023-09-06,Office Supplies,Binders,243.91,7,39.26,Central
CA-2024-10259,2023-04-28,2023-05-04,Office Supplies,Storage,134.86,3,32.06,Central
CA-2024-10105,2024-12-27,2025-01-03,Technology,Machines,1841.07,3,103.15,Central
CA-2024-10053,2024-07-18,2024-07-22,Furniture,Furnishings,765.0,5,128.36,East
CA-2024-10049,2024-04-12,2024-04-19,Office Supplies,Appliances,475.11,6,87.54,Central
CA-2024-10205,2024-12-13,2024-12-15,Office Supplies,Art,79.78,1,11.13,West
CA-2023-10034,2024-08-05,2024-08-09,Office Supplies,Art,24.77,1,0.0,South
CA-2024-10263,2023-04-20,2023-04-21,Office Supplies,Binders,39.25,1,14.7,West
CA-2024-10091,2024-11-18,2024-11-24,Office Supplies,Binders,97.39,2,15.51,Central
CA-2023-10052,2024-05-28,2024-05-30,Furniture,Bookcases,1735.35,6,301.66,West
CA-2023-10264,2024-08-31,2024-09-05,Technology,Accessories,846.63,4,127.29,South
CA-2024-10013,2023-12-01,2023-12-03,Office Supplies,Binders,277.0,5,43.9,West
CA-2024-10315,2024-05-25,2024-05-30,Furniture,Furnishings,774.08,5,81.35,West
CA-2023-10088,2024-02-17,2024-02-19,Furniture,Tables,641.04,2,30.61,West
CA-2023-10166,2024-10-28,2024-11-02,Office Supplies,Paper,141.15,4,13.52,West
CA-2023-10328,2024-04-16,2024-04-17,Technology,Accessories,386.18,2,49.15,West
CA-2023-10134,2023-02-01,2023-02-06,Office Supplies,Paper,78.85,2,17.82,West
CA-2023-10306,2023-09-13,2023-09-16,Furniture,Tables,674.5,2,14.29,West
CA-2024-10319,2023-12-29,2024-01-05,Furniture,Tables,1256.0,3,115.24,Central
CA-2024-10243,2024-10-13,2024-10-19,Furniture,Furnishings,471.85,3,59.19,East
CA-2023-10050,2023-10-15,2023-10-19,Office Supplies,Binders,121.29,3,28.43,South
CA-2023-10174,2023-08-12,2023-08-18,Furniture,Tables,1420.09,4,75.28,South
CA-2024-10189,2024-06-07,2024-06-12,Office Supplies,Paper,83.49,4,21.23,Central
CA-2024-10187,2024-09-28,2024-10-01,Technology,Phones,1363.38,3,183.38,West
CA-2024-10169,2024-06-23,2024-06-20,Furniture,Furnishings,1058.85,7,142.65,Central
CA-2023-10048,2023-03-09,2023-03-14,Office Supplies,Art,90.16,2,12.12,West
CA-2023-10344,2024-11-19,2024-11-21,Furniture,Bookcases,611.5,2,59.21,East
CA-2024-10235,2023-12-23,2023-12-26,Technology,Copiers,2324.61,3,306.39,Central
CA-2023-10252,2023-06-30,2023-07-04,Furniture,Furnishings,342.03,2,26.3,South
CA-2024-10021,2024-07-20,2024-07-21,Furniture,Tables,1070.37,3,34.01,South
CA-2024-10313,2024-02-29,2024-03-05,Office Supplies,Binders,103.91,3,2.08,South
CA-2023-10160,2023-03-31,2023-04-06,Technology,Machines,427.02,1,39.3,South
CA-2023-10276,2024-01-28,2024-02-01,Office Supplies,Paper,41.8,2,8.7,Central
CA-2024-10191,2024-09-09,2024-09-16,Office Supplies,Paper,12.0,1,1.5,East
CA-2024-10343,2023-11-29,2023-12-02,Technology,Machines,1180.75,2,90.45,South
CA-2024-10257,2023-04-14,2023-04-18,Furniture,Bookcases,469.42,2,52.56,South
CA-2023-10308,2023-10-02,2023-10-07,Office Supplies,Storage,206.85,3,33.65,South
CA-2024-10149,2023-08-06,2023-08-08,Furniture,Chairs,1583.0,6,198.3,Central
CA-2024-10151,2023-01-26,2023-02-01,Office Supplies,Art,156.01,5,32.54,Central
CA-2024-10087,2024-06-22,2024-06-24,Furniture,Chairs,1795.7,7,80.22,Central
CA-2024-10121,2024-11-07,2024-11-09,Furniture,Bookcases,1330.98,4,43.24,West
CA-2023-10188,2024-02-13,2024-02-18,Furniture,Chairs,947.8,4,48.74,West
CA-2024-10071,2023-11-26,2023-11-29,Office Supplies,Binders,182.95,3,38.09,West
CA-2023-10348,2023-07-28,2023-07-29,Furniture,Furnishings,663.32,4,80.08,Central
CA-2023-10102,2023-08-26,2023-08-29,Office Supplies,Binders,155.11,4,44.79,East
